identifier;title;author;source_date;publication_date;source;type
2018_Kass-Wojciech_Swiatlo-jasnie;Światło jaśnie gość ;Wojciech Kass;2018;2018;Trzy eseje o poezji https://polona.pl/item/tak-trzy-eseje-o-poezji,MTMyMjYwMzM2/7/#info:metadata;literary
2018_Kass-Wojciech_Ekstaza;Ekstaza i rzemiosło ;Wojciech Kass;2018;2018;Trzy eseje o poezji https://polona.pl/item/tak-trzy-eseje-o-poezji,MTMyMjYwMzM2/7/#info:metadata;literary
2018_Kass-Wojciech_Pomiedzy-strofa;Pomiędzy strofą a katastrofą ;Wojciech Kass;2018;2018;Trzy eseje o poezji https://polona.pl/item/tak-trzy-eseje-o-poezji,MTMyMjYwMzM2/7/#info:metadata;literary
2019_Szaruga-Leszek_Przestrzenie dialogu;Przestrzenie dialogu;Szaruga, Leszek;2019;2019;;literary
2019_Baran-Jozef_Stan;Stan miłosny przerywany;Baran, Józef;2019;2019;;literary
2012_Swiderski-Bronislaw_Kiedy;Kiedy mogę zabić?;Świderski, Bronisław;2012;2012;;literary
2017_Zagajewski-Adam_Granit-i-tecza;Granit i tęcza;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Gdyby-mnie-ktos;Gdyby mnie ktoś zapytał;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Bracia;Bracia;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Madrosc;Mądrość, forma i trwanie;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Moj-wiek;„Mój wiek” czytany po latach;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Melancholijny;Melancholijny i konkretny;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Milosz;Miłosz młody i stary;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Studnia;Studnia historii;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Zimowa-podroz;Zimowa podróż;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Kawa-po-turecku;Kawa po turecku;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Wiersze-Herberta;Wiersze Herberta, które lubię najbardziej;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Julian;Julian;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Pamiec-nieznanego;Pamięć nieznanego;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_Rownowaga;Równowaga;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
2017_Zagajewski-Adam_C-K-Williams;C. K. Williams;Adam Zagajewski;2021;2017;Poezja dla początkujących https://polona.pl/item/poezja-dla-poczatkujacych,MTMzMzY0NzY1/0/#info:metadata;literary
